Labels,15 wt% in mCP,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19990.234000,
Step,9.7656250,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

6865.234400,4.80000000E+1,
6875.000,3.80000000E+1,
6884.765600,4.60000000E+1,
6894.531300,4.60000000E+1,
6904.296900,4.60000000E+1,
6914.062500,4.50000000E+1,
6923.828100,3.60000000E+1,
6933.593800,4.10000000E+1,
6943.359400,4.00000000E+1,
6953.125000,5.50000000E+1,
6962.890600,3.50000000E+1,
6972.656300,3.40000000E+1,
6982.421900,3.40000000E+1,
6992.187500,4.20000000E+1,
7001.953100,3.60000000E+1,
7011.718800,4.40000000E+1,
7021.484400,4.50000000E+1,
7031.25000,4.00000000E+1,
7041.015600,4.90000000E+1,
7050.781300,3.70000000E+1,
7060.546900,4.40000000E+1,
7070.312500,4.20000000E+1,
7080.078100,4.60000000E+1,
7089.843800,4.00000000E+1,
7099.609400,2.70000000E+1,
7109.375000,4.70000000E+1,
7119.140600,4.30000000E+1,
7128.906300,3.40000000E+1,
7138.671900,4.20000000E+1,
7148.437500,4.00000000E+1,
7158.203100,4.20000000E+1,
7167.968800,4.40000000E+1,
7177.734400,3.10000000E+1,
7187.5000,4.20000000E+1,
7197.265600,3.60000000E+1,
7207.031300,3.70000000E+1,
7216.796900,4.00000000E+1,
7226.562500,5.00000000E+1,
7236.328100,3.10000000E+1,
7246.093800,4.30000000E+1,
7255.859400,3.70000000E+1,
7265.625000,3.90000000E+1,
7275.390600,3.90000000E+1,
7285.156300,3.80000000E+1,
7294.921900,3.00000000E+1,
7304.687500,3.20000000E+1,
7314.453100,4.10000000E+1,
7324.218800,3.60000000E+1,
7333.984400,3.60000000E+1,
7343.75000,5.10000000E+1,
7353.515600,4.00000000E+1,
7363.281300,3.90000000E+1,
7373.046900,4.40000000E+1,
7382.812500,5.20000000E+1,
7392.578100,3.70000000E+1,
7402.343800,4.50000000E+1,
7412.109400,4.50000000E+1,
7421.875000,3.20000000E+1,
7431.640600,4.30000000E+1,
7441.406300,4.60000000E+1,
7451.171900,2.90000000E+1,
7460.937500,5.00000000E+1,
7470.703100,4.60000000E+1,
7480.468800,2.70000000E+1,
7490.234400,3.80000000E+1,
